"lang","task","contest_num","nickname","solution_exists","try_cnt"
.NET Core C#,A - $k$-я имперская порядковая статистика,2,alexandrpankratov9,1,0
D,A - Balanced binary search tree,9,cyrus_msk,1,0
D,A - Connected components,10,cyrus_msk,1,0
D,A - Disjoint-Sets,12,cyrus_msk,1,0
D,A - Grasshopper and Money,6,cyrus_msk,1,0
D,A - Journey of the Knight,11,cyrus_msk,1,0
D,A - Maximum Flow,13,cyrus_msk,1,2
D,A - Minimum on Stack,4,cyrus_msk,1,0
D,A - Set,5,cyrus_msk,1,1
D,A - Simple sum,7,cyrus_msk,1,3
D,A - Простое двоичное дерево поиска,8,cyrus_msk,1,1
D,B - Balanced binary search tree,8,cyrus_msk,1,0
D,B - Map,5,cyrus_msk,1,1
D,B - Maximum Flow,13,cyrus_msk,1,0
D,B - Postfix Notation,4,cyrus_msk,1,0
D,B - Reposts,10,cyrus_msk,1,0
D,B - Sparse table,7,cyrus_msk,1,3
D,B - Turtle and Money,6,cyrus_msk,1,3
D,B - Неявный ключ,9,cyrus_msk,1,0
D,B - Подсчет опыта,12,cyrus_msk,1,1
D,C - LinkedMap,5,cyrus_msk,1,1
D,C - Move to front,9,cyrus_msk,1,0
D,C - Queue,4,cyrus_msk,1,0
D,C - RSQ,7,cyrus_msk,1,3
D,C - Topological sort,10,cyrus_msk,1,0
D,C - k-th,8,cyrus_msk,1,0
D,C - Наибольшая возрастающая подпоследовательность,6,cyrus_msk,1,0
D,C - Остовное дерево,12,cyrus_msk,1,3
D,D - Graph condensation,10,cyrus_msk,1,3
D,D - Levenshtein Distance,6,cyrus_msk,1,1
D,D - Priority queue,4,cyrus_msk,1,0
D,D - RMQ2,7,cyrus_msk,1,2
D,D - Reverses,9,cyrus_msk,1,3
D,D - Spanning Tree,12,cyrus_msk,1,1
D,D - Sum Problem,8,cyrus_msk,1,1
D,E - Articulation points,10,cyrus_msk,1,2
D,E - Cafe,6,cyrus_msk,1,4
GNU C++11,A - $k$-я имперская порядковая статистика,2,Azamat_sab,1,0
GNU C++11,A - $k$-я имперская порядковая статистика,2,KotikKo,1,5
GNU C++11,A - $k$-я имперская порядковая статистика,2,MargaritaNik,1,8
GNU C++11,A - $k$-я имперская порядковая статистика,2,PetrYurchenko,1,7
GNU C++11,A - $k$-я имперская порядковая статистика,2,PustotaPetr,1,0
GNU C++11,A - $k$-я имперская порядковая статистика,2,alexeydukhovich,1,0
GNU C++11,A - $k$-я имперская порядковая статистика,2,aorew,1,3
GNU C++11,A - $k$-я имперская порядковая статистика,2,dmitry.okhotnikov,1,0
GNU C++11,A - $k$-я имперская порядковая статистика,2,folkl,1,3
GNU C++11,A - $k$-я имперская порядковая статистика,2,kbrodt,1,9
GNU C++11,A - $k$-я имперская порядковая статистика,2,mmcclure,1,10
GNU C++11,A - $k$-я имперская порядковая статистика,2,obatek,1,9
GNU C++11,A - $k$-я имперская порядковая статистика,2,olegshchegolev,1,1
GNU C++11,A - $k$-я имперская порядковая статистика,2,plokoon,1,0
GNU C++11,A - $k$-я имперская порядковая статистика,2,qmakar,1,3
GNU C++11,A - $k$-я имперская порядковая статистика,2,sergey_msu,1,0
GNU C++11,A - $k$-я имперская порядковая статистика,2,soldatenkoes,1,2
GNU C++11,A - $k$-я имперская порядковая статистика,2,teazizov,1,18
GNU C++11,A - $k$-я имперская порядковая статистика,2,torrero,1,5
GNU C++11,A - A+B (Trial Problem),1,Arhimisha,1,1
GNU C++11,A - A+B (Trial Problem),1,MargaritaNik,1,0
GNU C++11,A - A+B (Trial Problem),1,PetrYurchenko,1,2
GNU C++11,A - A+B (Trial Problem),1,evgerher1,1,1
GNU C++11,A - A+B (Trial Problem),1,kbrodt,1,0
GNU C++11,A - A+B (Trial Problem),1,matiiv,1,2
GNU C++11,A - A+B (Trial Problem),1,soldatenkoes,1,0
GNU C++11,A - A+B (Trial Problem),1,teazizov,1,1
GNU C++11,A - A+B (Trial Problem),1,toryinside,1,0
GNU C++11,A - Balanced binary search tree,9,MargaritaNik,1,3
GNU C++11,A - Balanced binary search tree,9,PavelMeld,1,1
GNU C++11,A - Balanced binary search tree,9,kbrodt,1,0
GNU C++11,A - Connected components,10,MargaritaNik,1,1
GNU C++11,A - Connected components,10,PavelMeld,1,5
GNU C++11,A - Connected components,10,kbrodt,1,0
