"contest_num","nickname","min(passed_time)"
1,"0991798574n",277380
1,"148512",14220
1,"8michelle_weiss",352020
1,Alexander429,415380
1,Alexander_Koshelev,110520
1,AlinaZemlev,78300
1,Andrei_Belenko,452340
1,Anise,93060
1,AntonRampage,68460
1,Arhimisha,109800
1,Artem1989,3600
1,ArtemTsukanov,82500
1,Artem_Dronov,4140
1,Asd_zxc,17220
1,Aver_Power,170340
1,Azamat_sab,42060
1,BasharovIlya,364740
1,BigBossPikachu,267780
1,Bugi_bugi,195060
1,CoolHawk,248520
1,Cosinus0,58560
1,DeutschGraf,5580
1,Dexter0,66300
1,DiSO,15060
1,DmitryDS,18960
1,EgorSavkin,7980
1,Egorokm19,65220
1,EienKotowaru,18060
1,FarSir,7320
1,Fianketto,20100
1,Gra37,74460
1,GreySS,11940
1,Huk_er,17760
1,IMDxD,88620
1,IVyazmin,85860
1,Ignatych,372180
1,IlyaPCP,64020
1,IlyasLatypov,8340
1,Jeditem,113700
1,JessSmith,8280
1,JunkieStyle,434460
1,JustML,7560
1,Karvenko,13800
1,KernelA,7020
1,KilAgen,5040
1,Kizz,7500
1,KotikKo,12360
1,KuznetsovLeonid,177300
1,Lubov_Kudrenok,199020
1,LunatiP,433860
1,MakhmutovaLiliya,5340
1,Malahai,420
1,MargaritaNik,35640
1,Mary222,16200
1,Mornie,15780
1,Mykolesiko,18900
1,Nubithenoob,83400
1,Oleg__Trusov,7500
1,PavelMeld,171660
1,Pavel_shalnov,100860
1,PetrYurchenko,17940
1,PustotaPetr,145980
1,Pyo,80220
1,Rammi,73500
1,Ripper_1011,960
1,RoZa,7080
1,Robur,172320
1,S.Suhantsev,70140
1,Safin,163020
1,SergeyNefedov,2100
1,Sevarius,104820
1,ShevchukAlex,173760
1,Sokoloid,102000
1,Toks,24900
1,Unmagian,106200
1,UsatiyNyan,192300
1,Vanster,184800
1,Vetik,87120
1,VirHos,256800
1,Wag0nWheels,91380
1,Yanina_K,14760
1,Ziby1010,63420
1,Zmeyoff,120480
1,__Andrewy__,59940
1,_ctacukoc_,9660
1,a.m.tsitulskiy,194460
1,a.starikov,7560
1,abramova.katia,7680
1,achurkin,85860
1,adement,255300
1,adil17ds,97920
1,ainureg,111660
1,albert_goryaeff,9900
1,alekandr.tarelkin,152340
1,alekxd,75180
1,alexandrpankratov9,780
1,alexey_opolchenov,179880
1,alexeydukhovich,510540
1,alexiv95.95,9180
1,aliaksandr.shcharbitski,17880
1,alibek_lfc,274440
1,alimantu,373620
1,alishabr,66540
1,ananasnya,85500
1,andreiAP,321780
1,andrey91,7980
1,androidegsensation,456900
1,aniko,30540
1,ann_gerasimchik,76200
1,anyamb,38340
1,aorew,266460
1,artfowl,74580
1,artysav97,81540
1,asv715,66720
1,asviel,100020
1,asyash26,94920
1,azapletin,80220
1,babina.daria,22140
1,badlo_v,175500
1,berlios,282540
1,biquaternion,35820
1,birlikov,145080
1,brutalfacepalm,65700
1,cherninkiy,100140
1,cmepthbiu,85920
1,cvetvitaly,154200
1,cyrus_msk,105780
1,d.a.gornostaev,364140
1,d.pronin,287220
1,danya_hm,76020
1,dertty,337680
1,dimared,347340
1,dirvuk,88200
1,dkulemin,74340
1,dmitri.silantiev,82920
1,dmitry.okhotnikov,142140
1,dominator124,7500
1,dyakin.nikolay,13440
1,easyguy_made,61800
1,empty_kettle,292740
1,erik_mv,12420
1,ermekaitygulov,153720
1,evgenyto,99540
1,evgerher1,5880
1,exotol,12600
1,fahenrgeit,52980
1,fiztehno,61860
1,fizyamat,15720
1,fizz.buzz,26400
1,folkl,67800
1,fomin.fyodor,175800
1,frantotti,10200
1,garistvlad,119640
1,gimme_danger,1740
1,gosix22,13020
1,griddic,299640
1,gruzenko.e,3420
1,hanna_by,93840
1,happycookie,341580
1,happyhooter,62580
1,heaphop,86760
1,iavdonin,154920
1,ildarcho,187800
1,ilya_milyutin,320640
1,impersonalis,30840
1,indigo7,456840
1,ioiein,58920
1,irina_shch,11400
1,irinka_ta,188100
1,ivangood67,68640
1,ivkonst,426900
1,kadetfrolov,17700
1,kaip,111660
1,kat6123,96240
1,kay_si,285660
1,kbrodt,21540
1,kepolol,75720
1,ketzer,15720
1,kirillmakarovmain,261840
1,kpotoh,255480
1,krtch,262560
1,krveronika0191,149340
1,ksizova,354300
1,kudriashovs,174720
1,kuksha,86400
1,lKoteuka,2100
1,lainer991,19560
1,laol777,9180
1,lena.antonova,348480
1,linatka,447900
1,liza.avsyannik,1380
1,llevcono,158700
1,m.shalankin,600
1,magleb,5400
1,makhanko.maksim89,156060
1,mapryl,74520
1,markhubbatulin,281880
1,marsenyi,91260
1,maryia,17760
1,mat90x,329460
1,matiiv,69180
1,maxima1ist,16920
1,maximkermit,101340
1,miffka1992,179160
1,mikhail.gashkov,53880
1,mirpulatov,244560
1,mivankin,21240
1,mlyundin,6240
1,mmcclure,72360
1,munin.evgenii,6300
1,mzav,11640
1,n_makarevi4,542520
1,nati,12300
1,naumovsk,38400
1,neurophysicist,1560
1,ngkishmaria,6600
1,nordream,55320
1,norron,267240
1,novokolg,9300
1,nurrik,360780
1,obatek,77400
1,obkyrush,9000
1,okate88,180000
1,old.flanigan,255000
1,oleg.osipov,113400
1,oleg_nazarov,76680
1,olegshchegolev,32700
1,olga.novitskaya,158700
1,ooptyp,87720
1,pankratova.dasha,95040
1,pikadzilla,226320
1,pilnakot,86940
1,plato_001,260520
1,plokoon,6240
1,polikutinevgeny,46200
1,pollytur,522660
1,polovnikovpv,7920
1,qmakar,162900
1,raisedtoward,524460
1,robspb,282540
1,rodion.latypov,25620
1,roman.4erkasov,36420
1,roman.novokshanov,10980
1,rritka,15300
1,rsnetkov,83880
1,rudwell,900
1,ryabart,78420
1,sabraganets,27240
1,semenalekhin,529200
1,senior-sigan,10260
1,sera,91920
1,sergey_msu,69900
1,sergeyryabukhin,77520
1,shatty,10260
1,shnon_bell,249060
1,shubinsa,112020
1,sinyaevmaxim,13920
1,siraziev,4440
1,soldatenkoes,157620
1,somal,516360
1,soslan.tabuev,1800
1,spin_to_win,261000
1,sviatoslavteslenko,149400
1,teazizov,83280
1,tgolubeva,259140
1,titika2013,86040
1,tohich51,269220
1,torrero,85980
1,toryinside,83520
1,ubivawka,75900
1,user_vi,4320
1,v.lenshin,29040
1,v.makarenko,17700
1,vasikos,237540
1,vbrn,13680
1,viconstel,241920
1,vivaXAPOH,95100
1,vkorennoj,252360
1,vl.n.ermakov,107580
1,vladimirzenin,109200
1,vlbakulev,73920
1,void_signal,7020
1,vovchik_zh,264720
1,vzava,98400
1,wrath90,13260
1,wunder9l,361320
1,x-exciter,144060
1,xluttiy,56880
1,ya_demidova,111300
1,yahor_gerasimovich,188160
1,yakorovka,20880
1,yashinrostislav,76620
1,yunusovev,357900
1,zitimalex,8100
1,zmazak0,109680
2,"0991798574n",79560
2,"148512",6540
2,"8michelle_weiss",86520
2,Alexander429,183360
2,Alexander_Koshelev,70080
2,AlinaZemlev,327840
2,Andrei_Belenko,17340
2,Anise,1500
2,AntonRampage,102000
2,Arhimisha,365940
2,Artem1989,24720
2,ArtemTsukanov,83100
2,Artem_Dronov,9000
2,Asd_zxc,198420
2,Aver_Power,247980
2,Azamat_sab,6360
2,BasharovIlya,519720
2,BigBossPikachu,422940
2,Bugi_bugi,375600
2,CoolHawk,534240
2,Cosinus0,150540
2,DeutschGraf,108900
2,Dexter0,84480
2,DiSO,432840
2,DmitryDS,65100
2,EgorSavkin,11880
2,Egorokm19,160440
2,EienKotowaru,14040
2,FarSir,9000
2,Fianketto,16320
2,Gra37,112800
2,GreySS,373500
2,IMDxD,13980
2,IVyazmin,74520
2,Ignatych,526380
2,IlyaPCP,67500
2,IlyasLatypov,18180
2,Jeditem,373200
2,JessSmith,28500
2,JustML,88740
2,Karvenko,16620
2,KernelA,7020
2,KilAgen,70260
2,Kizz,69420
2,KotikKo,184800
2,KuznetsovLeonid,246720
2,Lubov_Kudrenok,89340
2,MakhmutovaLiliya,147060
2,Malahai,1800
2,MargaritaNik,32100
2,Mary222,99000
2,Mornie,25740
2,Mykolesiko,117420
2,Nubithenoob,362940
2,Oleg__Trusov,6600
2,PavelMeld,190140
2,Pavel_shalnov,94560
2,PetrYurchenko,67200
2,Ploffi,531720
2,PustotaPetr,74100
2,Pyo,26880
2,Rammi,170400
2,Ripper_1011,82080
2,RoZa,4200
2,Robur,113100
2,S.Suhantsev,10920
2,Safin,264720
2,SergeyNefedov,6720
2,Sevarius,183180
2,ShevchukAlex,196680
2,Sokoloid,157140
2,Toks,3180
2,Unmagian,283560
2,Vanster,284340
2,Vetik,335220
2,VirHos,258780
2,Wag0nWheels,149100
2,Yanina_K,288180
2,Ziby1010,106320
2,Zmeyoff,96060
2,_ctacukoc_,3720
2,a.m.tsitulskiy,274620
2,a.starikov,11700
2,abramova.katia,160020
2,achurkin,86820
2,adement,99600
2,adil17ds,179040
2,ainureg,208440
2,albert_goryaeff,90180
2,alekandr.tarelkin,67140
2,alekxd,242640
2,alexandrpankratov9,61500
2,alexey_opolchenov,169800
2,alexeydukhovich,80820
2,alexiv95.95,280500
2,aliaksandr.shcharbitski,68340
2,alibek_lfc,341280
2,alimantu,501060
2,alishabr,4680
2,ananasnya,164700
2,andreiAP,179880
2,andrey91,105780
2,androidegsensation,451020
2,aniko,17160
2,ann_gerasimchik,82560
2,anyamb,223140
2,aorew,188820
2,artfowl,94020
2,artysav97,204420
2,asv715,2280
2,asviel,269640
2,asyash26,91020
2,azapletin,363360
2,babina.daria,100440
2,badlo_v,192360
2,berlios,261060
2,biquaternion,287400
2,birlikov,182760
2,brutalfacepalm,111120
2,cherninkiy,265560
2,cmepthbiu,72840
2,cvetvitaly,17820
2,cyrus_msk,74040
2,d.a.gornostaev,17040
2,d.pronin,377220
2,danya_hm,181560
2,dertty,177600
2,dimared,256920
2,dirvuk,281340
2,dkulemin,20640
2,dmitri.silantiev,96000
2,dmitry.okhotnikov,63000
2,dominator124,5040
2,dyakin.nikolay,18180
2,easyguy_made,15480
2,empty_kettle,343140
2,erik_mv,13020
2,ermekaitygulov,252660
2,evgenyto,194100
2,evgerher1,73980
2,exotol,20880
2,fahenrgeit,16620
2,fiztehno,183480
2,fizyamat,1080
2,fizz.buzz,83580
2,folkl,4920
2,fomin.fyodor,257580
2,frantotti,258540
2,garistvlad,188280
2,gimme_danger,73920
2,gosix22,25560
2,hanna_by,280800
2,happycookie,15000
2,happyhooter,4800
2,heaphop,356220
2,iavdonin,411840
2,ildarcho,97920
2,ilya_milyutin,458340
2,impersonalis,31080
2,indigo7,540600
2,ioiein,16560
2,irina_shch,11040
2,irinka_ta,273240
2,ivangood67,6120
2,ivkonst,528360
2,kadetfrolov,182820
2,kaip,348420
2,kapibaara,183120
2,kat6123,243360
2,kay_si,105540
2,kbrodt,26340
2,kepolol,191340
2,ketzer,75360
2,kpotoh,28380
2,krtch,520020
2,krveronika0191,247740
2,ksizova,183780
2,kudriashovs,250320
2,kuksha,240780
2,lKoteuka,540
2,lainer991,357900
2,laol777,253680
2,lena.antonova,533160
2,linatka,531060
2,liza.avsyannik,70020
2,llevcono,510180
2,m.shalankin,423180
2,magleb,360300
2,makhanko.maksim89,7440
2,mapryl,339480
2,markhubbatulin,292260
2,marsenyi,4680
2,maryia,9420
2,mat90x,528660
2,matiiv,277980
2,maxima1ist,5040
2,miffka1992,194280
2,mikhail.gashkov,62640
2,mivankin,6120
2,mlyundin,11940
2,mmcclure,146400
2,munin.evgenii,5460
2,mzav,538560
2,n_makarevi4,539760
2,nati,7200
2,naumovsk,68400
2,neurophysicist,72960
2,ngkishmaria,2460
2,ningeen,158700
2,nordream,100440
2,norron,352200
2,novokolg,276000
2,nurrik,529620
2,obatek,88200
2,obkyrush,3420
2,okate88,251040
2,old.flanigan,416940
2,oleg.osipov,369480
2,oleg_nazarov,220800
2,olegshchegolev,118080
2,olga.novitskaya,14760
2,ooptyp,112260
2,pankratova.dasha,26640
