"contest_num","nickname","passed_time"
1,n_makarevi4,543240
1,n_makarevi4,543180
1,Arhimisha,543120
1,mzav,543060
1,n_makarevi4,543060
1,Ignatych,543000
1,mzav,543000
1,n_makarevi4,542940
1,n_makarevi4,542880
1,Ignatych,542640
1,Ignatych,542640
1,Ignatych,542640
1,somal,542580
1,semenalekhin,542580
1,Ignatych,542580
1,Ignatych,542520
1,nurrik,542520
1,n_makarevi4,542520
1,somal,542460
1,alimantu,542460
1,Ignatych,542460
1,Ignatych,542340
1,somal,542340
1,Ignatych,542340
1,somal,542220
1,nurrik,542040
1,nurrik,541800
1,nurrik,541740
1,somal,541620
1,Andrei_Belenko,541500
1,androidegsensation,541440
1,somal,541440
1,Andrei_Belenko,541440
1,alimantu,540900
1,androidegsensation,540900
1,mzav,540540
1,mzav,540420
1,nurrik,540420
1,Andrei_Belenko,540300
1,mzav,539940
1,Andrei_Belenko,539700
1,yunusovev,539580
1,vovchik_zh,539400
1,raisedtoward,538980
1,KotikKo,538620
1,androidegsensation,538440
1,pollytur,538320
1,androidegsensation,538140
1,linatka,537900
1,vovchik_zh,537600
1,albert_goryaeff,537600
1,linatka,537420
1,linatka,537360
1,ivkonst,537240
1,KotikKo,537000
1,KotikKo,536880
1,indigo7,536820
1,KotikKo,536640
1,markhubbatulin,536340
1,krtch,535980
1,raisedtoward,535800
1,nurrik,535680
1,raisedtoward,535680
1,raisedtoward,535620
1,pollytur,535560
1,pollytur,535500
1,markhubbatulin,535440
1,pollytur,535380
1,pollytur,535080
1,KotikKo,535080
1,KotikKo,534960
1,KotikKo,534900
1,ivkonst,534840
1,KotikKo,534660
1,KotikKo,534660
1,KotikKo,534480
1,markhubbatulin,534240
1,nurrik,533820
1,markhubbatulin,533700
1,ilya_milyutin,533700
1,nurrik,533640
1,nurrik,533040
1,Andrei_Belenko,532800
1,markhubbatulin,532800
1,kay_si,532500
1,kay_si,532200
1,raisedtoward,531600
1,nurrik,531300
1,d.pronin,530460
1,wunder9l,530280
1,pollytur,530100
1,pollytur,530040
1,Ziby1010,529740
1,pollytur,529560
1,raisedtoward,529500
1,nurrik,529500
1,semenalekhin,529200
1,Ziby1010,528780
1,kirillmakarovmain,528780
1,kirillmakarovmain,528600
1,pollytur,528300
1,pollytur,528120
1,kirillmakarovmain,528120
1,wunder9l,528060
1,kirillmakarovmain,527820
1,kay_si,527760
1,kirillmakarovmain,527520
1,kuksha,526440
1,wunder9l,526440
1,user_vi,526140
1,raisedtoward,526080
1,user_vi,526080
1,spin_to_win,526080
1,spin_to_win,525960
1,markhubbatulin,525960
1,KotikKo,525900
1,KotikKo,525720
1,markhubbatulin,525660
1,user_vi,525360
1,wunder9l,525180
1,pollytur,525060
1,user_vi,524820
1,androidegsensation,524700
1,raisedtoward,524460
1,yunusovev,524280
1,Yanina_K,524220
1,Yanina_K,524160
1,pollytur,523620
1,KotikKo,523440
1,user_vi,523320
1,KotikKo,523260
1,yunusovev,522900
1,user_vi,522720
1,pollytur,522660
1,somal,522180
1,alexeydukhovich,522180
1,somal,522120
1,markhubbatulin,521940
1,markhubbatulin,521880
1,somal,521700
1,somal,521340
1,user_vi,521160
1,markhubbatulin,520800
1,somal,520740
1,markhubbatulin,520740
1,markhubbatulin,520620
1,yunusovev,519960
1,somal,519240
1,yunusovev,519180
1,markhubbatulin,519120
1,markhubbatulin,519060
1,markhubbatulin,519060
1,tohich51,518820
1,tohich51,518760
1,somal,518580
1,tohich51,518580
1,somal,518460
1,tohich51,518040
1,tohich51,517800
1,wunder9l,517500
1,wunder9l,517380
1,markhubbatulin,517380
1,markhubbatulin,517320
1,alexeydukhovich,517200
1,somal,516360
1,markhubbatulin,516120
1,ivkonst,516000
1,markhubbatulin,515760
1,markhubbatulin,515340
1,ivkonst,515100
1,LunatiP,514920
1,alexeydukhovich,514920
1,ivkonst,514860
1,ivkonst,514440
1,alexeydukhovich,513600
1,kay_si,513480
1,kay_si,513420
1,kay_si,513360
1,lainer991,513120
1,ilya_milyutin,513120
1,kay_si,513060
1,kay_si,512700
1,alexeydukhovich,511980
1,alexeydukhovich,511500
1,alexeydukhovich,510540
1,kay_si,510180
1,kay_si,509820
1,LunatiP,509760
1,LunatiP,509700
1,LunatiP,509580
1,kay_si,509520
1,KuznetsovLeonid,508920
1,indigo7,508860
1,indigo7,507360
1,KuznetsovLeonid,507300
1,LunatiP,506160
1,LunatiP,506100
1,LunatiP,505920
1,Yanina_K,505440
1,Yanina_K,505320
1,KuznetsovLeonid,505020
1,Yanina_K,504900
1,linatka,504480
1,linatka,504120
1,KuznetsovLeonid,503040
1,toryinside,502860
1,LunatiP,502860
1,toryinside,502800
1,linatka,502620
1,Yanina_K,502260
1,Yanina_K,501900
1,Yanina_K,501660
1,linatka,501180
1,LunatiP,501000
1,spin_to_win,500640
1,Yanina_K,500460
1,spin_to_win,500400
1,spin_to_win,500340
1,LunatiP,500160
1,Yanina_K,500040
1,LunatiP,499620
1,LunatiP,498600
1,kay_si,498480
1,kay_si,498300
1,kay_si,498240
1,sinyaevmaxim,498120
1,LunatiP,498060
1,fomin.fyodor,497880
1,fomin.fyodor,497820
1,fomin.fyodor,497700
1,fomin.fyodor,497640
1,fomin.fyodor,497580
1,LunatiP,497460
1,linatka,497400
