"contest_num","nickname","task","solved","count(*)"
1,"0991798574n",A - A+B (Trial Problem),1,1
1,"0991798574n",B - Simple sort,1,1
1,"0991798574n",C - Simple sort,0,1
1,"0991798574n",C - Simple sort,1,1
1,"0991798574n",D - Number of inversions,0,1
1,"0991798574n",D - Number of inversions,1,1
1,"0991798574n",E - Simple sort,1,1
1,"0991798574n",F - Королевская сортировка,1,1
1,"148512",A - A+B (Trial Problem),0,2
1,"148512",A - A+B (Trial Problem),1,1
1,"148512",B - Simple sort,0,1
1,"148512",B - Simple sort,1,1
1,"148512",C - Simple sort,0,3
1,"148512",C - Simple sort,1,1
1,"148512",D - Number of inversions,1,1
1,"148512",E - Simple sort,0,6
1,"148512",E - Simple sort,1,1
1,"148512",F - Королевская сортировка,1,1
1,"8michelle_weiss",A - A+B (Trial Problem),0,1
1,"8michelle_weiss",A - A+B (Trial Problem),1,1
1,"8michelle_weiss",B - Simple sort,1,1
1,"8michelle_weiss",C - Simple sort,1,1
1,"8michelle_weiss",D - Number of inversions,0,10
1,"8michelle_weiss",D - Number of inversions,1,1
1,"8michelle_weiss",E - Simple sort,0,2
1,"8michelle_weiss",E - Simple sort,1,1
1,"8michelle_weiss",F - Королевская сортировка,1,1
1,Alexander429,A - A+B (Trial Problem),0,1
1,Alexander429,A - A+B (Trial Problem),1,1
1,Alexander429,B - Simple sort,1,1
1,Alexander429,C - Simple sort,1,1
1,Alexander429,E - Simple sort,1,1
1,Alexander_Koshelev,A - A+B (Trial Problem),0,2
1,Alexander_Koshelev,A - A+B (Trial Problem),1,1
1,Alexander_Koshelev,B - Simple sort,0,1
1,Alexander_Koshelev,B - Simple sort,1,1
1,Alexander_Koshelev,C - Simple sort,1,1
1,Alexander_Koshelev,D - Number of inversions,0,3
1,Alexander_Koshelev,D - Number of inversions,1,1
1,Alexander_Koshelev,E - Simple sort,0,19
1,Alexander_Koshelev,E - Simple sort,1,1
1,Alexander_Koshelev,F - Королевская сортировка,0,2
1,Alexander_Koshelev,F - Королевская сортировка,1,1
