"contest_num","task","nickname","contest_starts","first_solution_time"
1,A - A+B (Trial Problem),"0991798574n","2020-09-12 17:00:00","2020-09-15 22:03:00"
1,A - A+B (Trial Problem),"148512","2020-09-12 17:00:00","2020-09-14 11:39:00"
1,A - A+B (Trial Problem),"8michelle_weiss","2020-09-12 17:00:00","2020-09-16 18:48:00"
1,A - A+B (Trial Problem),Alexander429,"2020-09-12 17:00:00","2020-09-17 12:57:00"
1,A - A+B (Trial Problem),Alexander_Koshelev,"2020-09-12 17:00:00","2020-09-13 23:49:00"
1,A - A+B (Trial Problem),AlinaZemlev,"2020-09-12 17:00:00","2020-09-13 14:45:00"
1,A - A+B (Trial Problem),Andrei_Belenko,"2020-09-12 17:00:00","2020-09-17 22:45:00"
1,A - A+B (Trial Problem),Anise,"2020-09-12 17:00:00","2020-09-13 18:51:00"
1,A - A+B (Trial Problem),AntonRampage,"2020-09-12 17:00:00","2020-09-13 12:01:00"
1,A - A+B (Trial Problem),Arhimisha,"2020-09-12 17:00:00","2020-09-13 23:34:00"
1,A - A+B (Trial Problem),Artem1989,"2020-09-12 17:00:00","2020-09-12 18:00:00"
1,A - A+B (Trial Problem),ArtemTsukanov,"2020-09-12 17:00:00","2020-09-13 15:55:00"
1,A - A+B (Trial Problem),Artem_Dronov,"2020-09-12 17:00:00","2020-09-12 18:09:00"
1,A - A+B (Trial Problem),Asd_zxc,"2020-09-12 17:00:00","2020-09-12 21:48:00"
1,A - A+B (Trial Problem),Aver_Power,"2020-09-12 17:00:00","2020-09-14 16:22:00"
1,A - A+B (Trial Problem),Azamat_sab,"2020-09-12 17:00:00","2020-09-13 04:42:00"
1,A - A+B (Trial Problem),BasharovIlya,"2020-09-12 17:00:00","2020-09-16 22:21:00"
1,A - A+B (Trial Problem),BigBossPikachu,"2020-09-12 17:00:00","2020-09-15 19:30:00"
1,A - A+B (Trial Problem),Bugi_bugi,"2020-09-12 17:00:00","2020-09-14 23:13:00"
1,A - A+B (Trial Problem),CoolHawk,"2020-09-12 17:00:00","2020-09-15 14:03:00"
1,A - A+B (Trial Problem),Cosinus0,"2020-09-12 17:00:00","2020-09-14 09:00:00"
1,A - A+B (Trial Problem),DeutschGraf,"2020-09-12 17:00:00","2020-09-12 18:39:00"
1,A - A+B (Trial Problem),Dexter0,"2020-09-12 17:00:00","2020-09-13 11:25:00"
1,A - A+B (Trial Problem),DiSO,"2020-09-12 17:00:00","2020-09-15 13:04:00"
1,A - A+B (Trial Problem),DmitryDS,"2020-09-12 17:00:00","2020-09-12 22:26:00"
1,A - A+B (Trial Problem),EgorSavkin,"2020-09-12 17:00:00","2020-09-12 19:13:00"
1,A - A+B (Trial Problem),Egorokm19,"2020-09-12 17:00:00","2020-09-13 11:07:00"
1,A - A+B (Trial Problem),EienKotowaru,"2020-09-12 17:00:00","2020-09-12 22:01:00"
1,A - A+B (Trial Problem),FarSir,"2020-09-12 17:00:00","2020-09-12 19:02:00"
1,A - A+B (Trial Problem),Fianketto,"2020-09-12 17:00:00","2020-09-12 22:35:00"
1,A - A+B (Trial Problem),Gra37,"2020-09-12 17:00:00","2020-09-13 13:41:00"
1,A - A+B (Trial Problem),GreySS,"2020-09-12 17:00:00","2020-09-12 20:19:00"
1,A - A+B (Trial Problem),Huk_er,"2020-09-12 17:00:00","2020-09-12 22:05:00"
1,A - A+B (Trial Problem),IMDxD,"2020-09-12 17:00:00","2020-09-13 17:37:00"
1,A - A+B (Trial Problem),IVyazmin,"2020-09-12 17:00:00","2020-09-13 16:51:00"
1,A - A+B (Trial Problem),Ignatych,"2020-09-12 17:00:00","2020-09-17 00:23:00"
1,A - A+B (Trial Problem),IlyaPCP,"2020-09-12 17:00:00","2020-09-13 10:49:00"
1,A - A+B (Trial Problem),IlyasLatypov,"2020-09-12 17:00:00","2020-09-12 19:19:00"
1,A - A+B (Trial Problem),Jeditem,"2020-09-12 17:00:00","2020-09-14 00:35:00"
1,A - A+B (Trial Problem),JessSmith,"2020-09-12 17:00:00","2020-09-12 19:19:00"
1,A - A+B (Trial Problem),JunkieStyle,"2020-09-12 17:00:00","2020-09-17 17:41:00"
1,A - A+B (Trial Problem),JustML,"2020-09-12 17:00:00","2020-09-12 19:06:00"
1,A - A+B (Trial Problem),Karvenko,"2020-09-12 17:00:00","2020-09-12 20:50:00"
1,A - A+B (Trial Problem),KernelA,"2020-09-12 17:00:00","2020-09-12 19:12:00"
1,A - A+B (Trial Problem),KilAgen,"2020-09-12 17:00:00","2020-09-12 18:32:00"
1,A - A+B (Trial Problem),Kizz,"2020-09-12 17:00:00","2020-09-12 19:27:00"
1,A - A+B (Trial Problem),KotikKo,"2020-09-12 17:00:00","2020-09-12 20:50:00"
1,A - A+B (Trial Problem),KuznetsovLeonid,"2020-09-12 17:00:00","2020-09-14 18:37:00"
1,A - A+B (Trial Problem),Lubov_Kudrenok,"2020-09-12 17:00:00","2020-09-15 19:33:00"
1,A - A+B (Trial Problem),LunatiP,"2020-09-12 17:00:00","2020-09-17 17:31:00"
1,A - A+B (Trial Problem),MakhmutovaLiliya,"2020-09-12 17:00:00","2020-09-12 18:29:00"
1,A - A+B (Trial Problem),Malahai,"2020-09-12 17:00:00","2020-09-12 17:07:00"
1,A - A+B (Trial Problem),MargaritaNik,"2020-09-12 17:00:00","2020-09-13 02:58:00"
1,A - A+B (Trial Problem),Mary222,"2020-09-12 17:00:00","2020-09-12 21:35:00"
1,A - A+B (Trial Problem),Mornie,"2020-09-12 17:00:00","2020-09-12 21:23:00"
1,A - A+B (Trial Problem),Mykolesiko,"2020-09-12 17:00:00","2020-09-12 22:15:00"
1,A - A+B (Trial Problem),Nubithenoob,"2020-09-12 17:00:00","2020-09-13 16:10:00"
1,A - A+B (Trial Problem),Oleg__Trusov,"2020-09-12 17:00:00","2020-09-12 19:29:00"
1,A - A+B (Trial Problem),PavelMeld,"2020-09-12 17:00:00","2020-09-14 16:41:00"
1,A - A+B (Trial Problem),Pavel_shalnov,"2020-09-12 17:00:00","2020-09-13 21:01:00"
1,A - A+B (Trial Problem),PetrYurchenko,"2020-09-12 17:00:00","2020-09-12 22:05:00"
1,A - A+B (Trial Problem),PustotaPetr,"2020-09-12 17:00:00","2020-09-14 09:33:00"
1,A - A+B (Trial Problem),Pyo,"2020-09-12 17:00:00","2020-09-13 15:17:00"
